# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
-1.581064143771884756e-02 1.502721698442523006e-02 1.562086691998061738e+01 3.935868820270070345e-01 7.910270479592786952e-01 3.113378694053202667e-01
-3.669803059675468687e-03 1.502721698442523006e-02 1.561352731386126536e+01 3.947326977904531131e-01 7.852424752080851000e-01 3.099608806585404386e-01
1.224291988217955998e-02 1.502721698442523006e-02 1.563801315362562505e+01 3.958751971342953091e-01 8.047071283174401790e-01 3.185635930580393294e-01
2.386980728929269727e-02 1.502721698442523006e-02 1.568575276820421038e+01 3.970144086897919866e-01 8.440552968507160081e-01 3.351021145806738488e-01
-5.843938500585392493e-03 1.502721698442523006e-02 1.567406489120303803e+01 3.981503606785923854e-01 8.342475101118044245e-01 3.321559470462325803e-01
-1.080051005980065459e-03 1.502721698442523006e-02 1.567190478919107832e+01 3.992830809208940401e-01 8.324473953025008921e-01 3.323821607009559420e-01
-2.619191344782286802e-03 1.502721698442523006e-02 1.566666640650151265e+01 4.004125968433925320e-01 8.280981188098974766e-01 3.315809181937992567e-01
-2.003628687707720984e-02 1.502721698442523006e-02 1.562659383274735703e+01 4.015389354870299576e-01 7.955701875240875909e-01 3.194524062036389611e-01
-4.626468171924164041e-03 1.502721698442523006e-02 1.561734089640350831e+01 4.026621235145481092e-01 7.882427795208196697e-01 3.173955114468630101e-01
1.760538448153195490e-02 1.502721698442523006e-02 1.565255166536657327e+01 4.037821872178529170e-01 8.164918307928229479e-01 3.296848572830350932e-01
1.177425119076835718e-02 1.502721698442523006e-02 1.567610016774811044e+01 4.048991525251951495e-01 8.359471635475930196e-01 3.384742980762611153e-01
-2.526888492462847982e-02 1.502721698442523006e-02 1.562556239789885382e+01 4.060130450081736453e-01 7.947500317495792554e-01 3.226788804109894104e-01
-2.211692774235964054e-02 1.502721698442523006e-02 1.558132854241413412e+01 4.071238898885660151e-01 7.603613526188215399e-01 3.095612715991061803e-01
7.192857732741256109e-03 1.502721698442523006e-02 1.559571425787961729e+01 4.082317120449919789e-01 7.713787512671356206e-01 3.149012682649107719e-01
-4.099131858686684560e-02 1.502721698442523006e-02 1.551373162070588307e+01 4.093365360194142766e-01 7.106619520695048875e-01 2.908999017409261700e-01
9.210291965819475402e-03 1.502721698442523006e-02 1.553215220463752289e+01 4.104383860234825376e-01 7.238740741157987379e-01 2.971057066643312261e-01
-6.424806593243560099e-03 1.502721698442523006e-02 1.551930259145103719e+01 4.115372859447236631e-01 7.146320774724471692e-01 2.940977456120504319e-01
-2.932460496132102690e-02 1.502721698442523006e-02 1.546065338152839530e+01 4.126332593525844916e-01 6.739248615847872603e-01 2.780838121944700925e-01
