# freqs_THz  cepf_psd cepf_logpsd
# 
3.510983075261073338e+00 1.507219525798983872e+06 1.404994918416592675e+01
3.520985876045293228e+00 1.505991943850110518e+06 1.404913438438890871e+01
3.530988676829512674e+00 1.504449521880829940e+06 1.404810966949456130e+01
3.540991477613731675e+00 1.502595572204517201e+06 1.404687659858726789e+01
3.550994278397951565e+00 1.500433910549034132e+06 1.404543694437058221e+01
3.560997079182171010e+00 1.497968844554516487e+06 1.404379269124568452e+01
3.570999879966390456e+00 1.495205160858986899e+06 1.404194603316572554e+01
3.581002680750610789e+00 1.492148110839115689e+06 1.403989937124866749e+01
3.591005481534830235e+00 1.488803395079675829e+06 1.403765531115147347e+01
3.601008282319049680e+00 1.485177146651144838e+06 1.403521666020889924e+01
3.611011083103269570e+00 1.481275913280143868e+06 1.403258642434047943e+01
3.621013883887488571e+00 1.477106638501540059e+06 1.402976780472932283e+01
3.631016684671708017e+00 1.472676641885418212e+06 1.402676419427693766e+01
3.641019485455927907e+00 1.467993598434874555e+06 1.402357917383826091e+01
3.651022286240147352e+00 1.463065517253349768e+06 1.402021650824148402e+01
3.661025087024366798e+00 1.457900719582431251e+06 1.401668014209776381e+01
3.671027887808587131e+00 1.452507816311329370e+06 1.401297419540554756e+01
3.681030688592806577e+00 1.446895685060678748e+06 1.400910295895513258e+01
3.691033489377026022e+00 1.441073446942577139e+06 1.400507088953891888e+01
3.701036290161245468e+00 1.435050443098121788e+06 1.400088260497315318e+01
3.711039090945464913e+00 1.428836211112475488e+06 1.399654287893731919e+01
3.721041891729684359e+00 1.422440461405141978e+06 1.399205663563731505e+01
3.731044692513904248e+00 1.415873053690686822e+06 1.398742894429885197e+01
3.741047493298123694e+00 1.409143973602200858e+06 1.398266501349782409e+01
3.751050294082342695e+00 1.402263309566201409e+06 1.397777018533457394e+01
3.761053094866563473e+00 1.395241230013101129e+06 1.397274992945877514e+01
3.771055895650782919e+00 1.388087961003991077e+06 1.396760983695255476e+01
3.781058696435001920e+00 1.380813764348645927e+06 1.396235561407888426e+01
3.791061497219221810e+00 1.373428916285444284e+06 1.395699307590301608e+01
3.801064298003441255e+00 1.365943686787878629e+06 1.395152813979439621e+01
3.811067098787660701e+00 1.358368319557574112e+06 1.394596681881715128e+01
3.821069899571880590e+00 1.350713012757387245e+06 1.394031521501690030e+01
3.831072700356099592e+00 1.342987900532579748e+06 1.393457951261188654e+01
