# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 50 ns, output_step = 1.0 fs
# Temperature = 1065.705630 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
c_flux1[1] c_flux1[2] c_flux1[3]
602.77631 809.60728 0.86178
445.27773 963.41829 93.891633
300.69509 1087.1591 183.1685
170.5172 1176.8521 265.85829
54.389509 1229.2875 338.97932
-49.923333 1242.4521 399.81909
-146.39915 1215.9778 446.10432
-240.42623 1151.4474 476.15403
-337.8634 1052.2352 489.10174
-443.7379 923.01539 485.27432
-560.89004 769.07628 466.58807
-688.74938 595.87976 436.76144
-822.97109 408.59685 401.01366
-956.0433 212.15715 365.36337
-1078.8281 11.366208 335.16781
-1182.5899 -189.05268 313.78325
-1260.9831 -384.56322 301.6858
-1311.1182 -571.10069 296.40787
-1333.4393 -745.25736 293.55298
-1330.6104 -904.41514 288.33237
-1306.1088 -1046.7415 277.16732
-1263.1248 -1171.2854 258.82042
-1204.163 -1278.0669 234.73849
-1131.0227 -1368.2117 208.59176
-1044.9959 -1443.7642 185.17238
-947.14134 -1507.2196 168.9765
-838.32418 -1560.6745 162.94144
-719.11217 -1604.965 167.7373
-589.41479 -1639.0622 181.6247
-448.42922 -1660.073 200.8695
-294.53366 -1663.6362 220.46141
-126.00818 -1644.9731 235.06502
57.969838 -1599.7987 240.07371
256.03487 -1525.424 232.16219
463.83257 -1421.232 209.59801
673.72728 -1288.9725 172.08627
875.38753 -1132.7667 120.25514
1056.8702 -958.67064 55.198859
1206.1648 -774.10881 -21.974689
1312.7758 -586.86988 -110.2692
1369.0553 -404.33724 -208.64264
1371.2237 -232.49987 -315.54756
1319.3832 -75.56518 -428.45969
1217.051 64.372525 -543.69764
1070.3384 187.17433 -656.71211
887.15277 294.39042 -762.41003
676.69145 388.82921 -855.8149
449.05152 473.91158 -932.40417
214.98299 553.04661 -988.26575
-14.569235 628.90793 -1019.9866
-228.84885 702.74824 -1024.1076
-418.10204 774.13598 -996.85625
-574.39394 841.07485 -934.01764
-692.48418 900.6073 -831.22137
-770.63094 949.75797 -685.0096
-810.81674 986.61221 -494.24728
-818.56263 1010.8825 -261.72732
-802.03985 1023.8821 4.8594698
-770.89143 1027.8512 292.7949
-734.78717 1024.9213 585.58376
-702.19256 1016.1913 865.09531
-679.37704 1001.2615 1114.3253
-670.07602 978.19228 1319.8191
-675.33264 943.89146 1473.1277
-693.75275 894.94723 1570.7926
-721.72624 828.53606 1613.2115
-753.9017 743.41139 1602.9319
-783.95311 640.50549 1543.219
-805.75841 523.22526 1437.5061
-814.66661 397.12446 1289.3293
-808.50531 269.2688 1102.9077
-787.82099 147.13702 883.79416
-755.52497 37.494955 639.28278
-716.13561 -54.733997 378.23115
-674.76089 -127.31059 110.18547
-635.93238 -181.15453 -155.95858
-602.52504 -220.31659 -413.2274
-575.16914 -251.20147 -657.16396
-552.29027 -281.34481 -885.27779
-530.64266 -318.3717 -1095.9272
-506.0042 -369.01242 -1286.9301
-474.13561 -438.20461 -1454.2328
-431.2449 -528.3611 -1591.599
-374.41384 -638.93292 -1691.2296
-301.53476 -766.46402 -1745.3544
-211.23472 -904.86375 -1748.1363
-102.84441 -1045.8508 -1697.3396
23.147451 -1179.6196 -1595.1099
164.73805 -1295.6136 -1447.9733
318.00523 -1383.8044 -1265.9125
477.34576 -1435.9026 -1060.9583
636.07459 -1446.5186 -845.44169
787.21638 -1413.7806 -630.38907
924.1945 -1339.2471 -424.14209
1041.3768 -1227.5039 -231.52724
1134.3046 -1085.1642 -53.781376
1199.8673 -920.0912 110.93464
1236.3662 -740.28569 266.37763
1243.8398 -553.38258 416.61732
1224.1631 -366.342 564.59856
1181.0558 -184.87025 710.98152
1119.526 -12.930021 853.5145
1044.8253 147.84319 987.21735
961.23184 298.38555 1105.216
871.0168 441.98897 1200.0154
773.956 583.40162 1265.182
667.4592 727.7203 1296.6287
547.54563 879.0009 1293.6986
410.28362 1039.224 1259.3616
253.39988 1207.5666 1199.7432
77.513783 1380.2695 1123.1704
-113.20173 1551.0282 1038.6767
-311.27731 1711.4853 954.65694
-506.81263 1852.1107 877.6841
-688.81401 1962.8725 811.76945
-846.62576 2034.2282 758.27832
-971.20896 2058.0343 716.1237
-1055.8966 2028.384 682.29934
-1096.9527 1942.2106 652.48617
-1093.903 1799.4409 621.56148
-1049.5656 1602.7365 584.1458
-969.6966 1356.8977 535.11567
-862.13698 1068.2372 470.33548
-735.49581 744.18733 387.3631
-597.80431 393.15389 286.00049
-455.40585 24.612563 168.52974
-312.46422 -350.99701 39.516168
-171.02214 -722.48224 -94.798717
-31.726692 -1078.3471 -227.55059
105.32482 -1407.6317 -352.284
239.69782 -1700.8364 -463.94918
370.27481 -1950.6482 -559.45524
495.28697 -2152.3475 -637.93472
612.61868 -2303.5062 -700.51017
720.16418 -2403.4685 -750.07686
815.7285 -2452.8632 -790.68181
896.30991 -2453.8129 -827.12082
957.21028 -2410.5483 -864.24987
992.00142 -2329.8219 -906.14484
993.70534 -2220.6721 -955.15547
957.19859 -2093.287 -1010.9295
881.64707 -1957.2851 -1070.265
771.72954 -1820.1758 -1127.4696
637.38174 -1686.0337 -1175.3952
492.01226 -1555.0979 -1206.6665
349.80604 -1424.3322 -1214.9753
222.63475 -1289.0458 -1196.383
117.99575 -1144.7922 -1149.769
38.600677 -988.89673 -1076.4767
-16.578311 -820.93594 -979.02232
-50.484146 -642.55829 -859.87045
-66.452539 -456.88105 -721.09945
-67.681094 -268.10291 -564.99113
